g,theta,h,nc,tmax,Sn,Sm,Snm,IShannon,Rn,Rm,Rnm,IRenyi2,Rn3,Rm3,Rnm3,IRenyi3,Rn4,Rm4,Rnm4,IRenyi4
1,0.04,0,10000,100000,7.45083177845653,7.4505106075006,14.0498508923115,0.85149149364559,7.30611778163635,7.30600823141446,13.7534690943799,0.858656918670956,7.23671552053083,7.23663013561543,13.6117194668461,0.861626189300146,7.19406791288475,7.19399125994544,13.52492791956,0.863131253270149
1,0.06,0,10000,100000,7.2753851789875,7.27517714783163,13.8616988625323,0.688863464286836,7.12652609805718,7.1264465745165,13.560827228022,0.692145444551706,7.05570250101708,7.05563484690506,13.4175224272118,0.693814920710295,7.01233402288523,7.01227231689579,13.3298974962475,0.694708843533544
1,0.08,0,10000,100000,7.15236633958271,7.15225490343957,13.7263883542452,0.578232888777077,7.00199999737155,7.00196958902255,13.4246456803468,0.579323906047286,6.93071258834101,6.93068938900021,13.2814970030541,0.579904974287153,6.887183934624,6.88716415304305,13.1940820189048,0.580266068762214
1,0.1,0,10000,100000,7.05861223795076,7.05849309174681,13.621308296952,0.495797032745525,6.90748996856937,6.9074586007599,13.3192640732695,0.495684496059736,6.83601672607324,6.83599140199532,13.1762666150404,0.495741513028106,6.79248376891292,6.79245923139993,13.0890816883975,0.495861311915345
1,0.12,0,10000,100000,6.98501891467979,6.98491433306545,13.5367194483881,0.433213799357182,6.83254579551481,6.83250654056026,13.2332208150586,0.431831521016447,6.76047680156037,6.76044397196064,13.0896821811844,0.431238592336564,6.71664887279516,6.71661765653489,13.0022135699759,0.431052959354123
1,0.14,0,10000,100000,6.92413208231843,6.92400512064728,13.4647622476274,0.383374955338283,6.77169451444206,6.77165294777531,13.161361403693,0.381986058524374,6.69962501075943,6.69959383099077,13.0178445319663,0.381374309783922,6.65579214827104,6.65576474421915,12.9303596461852,0.381197246305012
1,0,0,10000,100000,8.27157803248378,8.27118115091948,14.9055413735933,1.63721780981001,8.17991992501977,8.17975567509973,14.6702357598084,1.68943984031107,8.13046251850737,8.13032258856073,14.5533866436377,1.70739846343043,8.0969662629199,8.09682997565147,14.4790783067954,1.71471793177593
1,-0.0025,0,1000,100000,6.57582801807063,6.57569152278147,12.0650779168783,1.08644162397381,6.48621910060866,6.48614259204603,11.8348342119391,1.13752748071554,6.44141691246935,6.44134307430584,11.7254720576326,1.1572879291426,6.41253931259691,6.41246608695849,11.658271178771,1.16673422078441
1,-0.005,0,1000,100000,6.59699029565742,6.59684619233328,12.0847012447481,1.1091352432426,6.50593862625928,6.50587767540778,11.8553090274638,1.15650727420327,6.45835127169577,6.45829187514232,11.7451360334244,1.17150711341366,6.42678315616884,6.42672105643304,11.6767983466506,1.1767058659513
1,-0.0075,0,1000,100000,6.64266108743165,6.64254510833337,12.125978137995,1.15922805776998,6.56248491629296,6.56244836044822,11.9061928012475,1.21874047549371,6.5204729737783,6.52044554508795,11.801342815185,1.23957570368123,6.49215483660305,6.49213194172453,11.7365886008347,1.24769817749289
